,Player,Ntnlty,Overall,1st Season,HOF,GP,W,Career Save %,GAA
319,Ukko-Pekka Luukkonen,FIN,54,20202021,N,4,1,0.906,3.88
320,Roberto Luongo,CAN,4,19992000,N,"1,044",489,0.9174736842105264,2.5573684210526317
321,Henrik Lundqvist,SWE,205,20052006,N,887,459,0.9177333333333333,2.464
322,Harry Lumley,CAN,--,19431944,Y,478,167,0.9087500000000001,2.767777777777778
323,Larry Lozinski,CAN,219,19801981,N,30,6,0.858,4.29
324,Ron Low,CAN,104,19721973,N,382,102,0.870090909090909,4.225454545454546
325,Ronald Loustel,CAN,107,19801981,N,1,0,0.804,10.0
326,Daniel Lorenz,CAN,58,19901991,N,8,1,0.8553333333333333,4.196666666666666
327,Pete Lopresti,USA,42,19741975,N,175,43,0.8571666666666666,4.278333333333333
328,Ken Lockett,CAN,--,19741975,N,55,13,0.889,3.33
329,Mike Liut,CAN,56,19791980,N,663,293,0.8810769230769231,3.5115384615384615
330,David Littman,USA,211,19901991,N,3,0,0.7873333333333333,6.093333333333334
331,Neil Little,CAN,226,20002001,N,2,0,0.806,3.8049999999999997
332,Charlie Lindgren,USA,--,20152016,N,24,10,0.9144,2.8920000000000003
333,Pelle Lindbergh,SWE,35,19811982,N,157,87,0.8826,3.47
334,Anders Lindback,SWE,207,20102011,N,130,45,0.9038333333333334,2.84
335,Nathan Lieuwen,CAN,167,20132014,N,7,1,0.906,2.97
336,Jean Levasseur,CAN,--,19791980,N,1,0,0.806,7.0
337,Mario Lessard,CAN,154,19781979,N,240,92,0.864,4.194999999999999
338,David Leneveu,CAN,46,20052006,N,22,5,0.871,4.366666666666666
339,Mike Lenarduzzi,CAN,57,19921993,N,4,1,0.907,3.0250000000000004
340,Rejean Lemelin,CAN,125,19781979,N,506,236,0.8778666666666666,3.6006666666666667
341,Michael Leighton,CAN,165,20012002,N,110,37,0.8899000000000001,3.216
342,Kari Lehtonen,FIN,2,20032004,N,649,310,0.9145000000000001,2.6292857142857144
343,Robin Lehner,SWE,46,20102011,N,320,129,0.9174545454545455,2.661818181818182
344,Claude Legris,CAN,120,19801981,N,4,0,0.9410000000000001,1.895
345,Manny Legace,CAN,188,19981999,N,365,187,0.9107272727272728,2.481818181818182
346,Pascal Leclaire,CAN,8,20022003,N,173,61,0.8982857142857144,3.1185714285714288
347,Ray Leblanc,USA,--,19911992,N,1,1,0.955,1.0
348,Gordon Laxton,CAN,13,19751976,N,17,4,0.79975,6.5075
349,Nathan Lawson,CAN,--,20102011,N,11,1,0.8465,7.084999999999999
350,Gary Laskoski,CAN,--,19821983,N,59,19,0.8425,4.77
351,Jan Lasak,SVK,65,20002001,N,6,0,0.8734999999999999,3.8600000000000003
352,Michel Larocque,CAN,6,19731974,N,312,160,0.8795454545454546,3.5009090909090905
353,Michel Larocque,DEU,137,20002001,N,3,0,0.8795454545454546,3.5009090909090905
354,Kevin Lankinen,FIN,--,20202021,N,37,17,0.909,3.01
355,Scott Langkow,CAN,31,19951996,N,20,3,0.8795,3.445
356,Marek Langhamer,CZE,184,20162017,N,2,0,0.9375,1.935
357,Marc Lamothe,CAN,92,19992000,N,4,2,0.874,3.305
358,Patrick Lalime,CAN,156,19961997,N,444,200,0.9018333333333334,2.7466666666666666
359,Simon Lajeunesse,CAN,48,20012002,N,1,0,1.0,0.0
360,Maxime Lagace,CAN,--,20172018,N,18,7,0.9126666666666666,2.65
361,Mark Laforest,CAN,--,19851986,N,103,25,0.8651666666666666,4.263333333333333
362,Richard Laferriere,CAN,64,19811982,N,1,0,0.947,3.0
363,Daniel Lacosta,CAN,93,20072008,N,4,2,0.975,0.77
364,Eddie Lack,SWE,--,20132014,N,144,56,0.9012,2.866
365,Blaine Lacher,CAN,--,19941995,N,47,22,0.8734999999999999,3.175
366,Patrick Labrecque,CAN,90,19951996,N,2,0,0.851,4.29
367,Jean-Francois Labbe,CAN,--,19992000,N,15,3,0.8866666666666667,3.22
368,Jason LaBarbera,CAN,66,20002001,N,187,62,0.9078181818181819,2.7227272727272727
369,Gary Kurt,CAN,--,19711972,N,16,1,0.856,4.3
370,Les Kuntar,USA,122,19931994,N,6,2,0.877,3.18
371,Darcy Kuemper,CAN,160,20122013,N,242,106,0.9147777777777778,2.477777777777778
372,Brent Krahn,CAN,9,20082009,N,1,0,0.667,9.0
373,Mikko Koskinen,FIN,31,20102011,N,123,58,0.89875,3.295
374,Joonas Korpisalo,FIN,62,20152016,N,160,69,0.904,2.9416666666666664
375,Josef Korenar,CZE,--,20202021,N,10,3,0.899,3.17
376,Evgeny Konstantinov,RUS,67,20002001,N,2,0,0.833,1.5
377,Olie Kolzig,DEU,19,19891990,N,719,303,0.8844117647058823,3.3064705882352943
378,Vitaly Kolesnik,KAZ,--,20052006,N,8,3,0.888,3.24
379,Dieter Kochan,CAN,98,19992000,N,21,1,0.8534999999999999,4.195
380,Spencer Knight,USA,13,20202021,N,4,4,0.919,2.32
381,Rick Knickle,CAN,116,19921993,N,14,7,0.8765000000000001,3.5300000000000002
382,Connor Knapp,USA,163,20132014,N,2,0,0.875,3.14
383,Julian Klymkiw,CAN,--,19581959,N,1,0,0.778,6.37
384,Terry Kleisinger,CAN,--,19851986,N,4,0,0.872,4.42
385,Matiss Kivlenieks,USA,--,20192020,N,8,2,0.8995,3.175
386,Miikka Kiprusoff,FIN,116,20002001,N,623,319,0.9089166666666667,2.5141666666666667
387,Keith Kinkaid,USA,--,20122013,N,166,68,0.904375,2.91625
388,Scott King,CAN,190,19901991,N,2,0,0.8089999999999999,3.1550000000000002
389,Trevor Kidd,CAN,11,19911992,N,387,140,0.8958333333333334,2.980833333333333
390,Anton Khudobin,RUS,206,20092010,N,250,111,0.9274166666666667,2.1675
391,Nikolai Khabibulin,RUS,204,19941995,N,799,333,0.9026111111111111,2.896111111111111
392,Matt Keetley,CAN,158,20072008,N,1,0,1.0,0.0
393,Don Keenan,CAN,--,19581959,N,1,0,0.902,4.0
394,Doug Keans,CAN,94,19791980,N,210,96,0.8686666666666666,3.6755555555555555
395,Kasimir Kaskisuo,FIN,--,20192020,N,2,0,0.921,3.0
396,Jason Kasdorf,CAN,157,20152016,N,1,0,0.867,4.0
397,Henrik Karlsson,SWE,--,20102011,N,26,5,0.904,2.875
398,Hannu Kamppuri,FIN,--,19841985,N,13,1,0.845,5.11
399,Kaapo Kahkonen,FIN,109,20192020,N,29,19,0.9075,2.92
400,Jari Kaarela,FIN,--,19801981,N,5,2,0.809,6.0
401,Joe Junkin,CAN,--,19681969,N,1,0,1.0,0.0
402,Curtis Joseph,CAN,--,19891990,N,943,454,0.903,2.8521052631578945
403,Martin Jones,CAN,--,20132014,N,361,186,0.9091250000000001,2.56125
404,Eddie Johnston,CAN,--,19621963,N,592,236,0.89225,3.276875
405,Chad Johnson,CAN,125,20092010,N,192,80,0.9005555555555556,2.9866666666666664
406,Brent Johnson,USA,129,19981999,N,309,140,0.9049166666666667,2.6666666666666665
407,Bob Johnson,USA,--,19721973,N,23,9,0.8815,3.85
408,Jonas Johansson,SWE,61,20192020,N,21,6,0.8955,2.9
409,Darren Jensen,CAN,92,19841985,N,30,15,0.825,5.345
410,Al Jensen,CAN,31,19801981,N,179,95,0.861,4.014285714285714
411,Tristan Jarry,CAN,44,20162017,N,101,59,0.901,2.902
412,Bob Janecyk,USA,--,19831984,N,111,44,0.8718333333333333,4.315
413,Steve Janaszek,USA,--,19791980,N,3,0,0.893,4.9
414,Pauli Jaks,CHE,108,19941995,N,1,0,0.92,3.0
415,Pat Jablonski,USA,138,19891990,N,128,28,0.8714999999999999,3.81125
416,Leland Irving,CAN,26,20112012,N,13,3,0.8975,3.26
417,Robbie Irons,CAN,--,19681969,N,1,0,1.0,0.0
418,Randy Ireland,CAN,82,19781979,N,2,0,0.857,6.02
419,Arturs Irbe,LVA,196,19911992,N,568,218,0.8940769230769232,3.072307692307692
420,Gary Inness,CAN,--,19731974,N,162,58,0.8924285714285715,3.3057142857142856
421,Peter Ing,CAN,48,19891990,N,74,20,0.85875,4.8325
422,Carter Hutton,CAN,--,20122013,N,232,94,0.9065555555555557,2.75
423,Michael Hutchinson,CAN,77,20132014,N,135,55,0.9085,2.775
424,Ville Husso,FIN,94,20202021,N,17,9,0.893,3.21
425,Jani Hurme,FIN,58,19992000,N,76,29,0.90325,2.465
426,Shawn Hunwick,USA,--,20112012,N,1,0,,0.0
427,Cristobal Huet,FRA,214,20022003,N,272,129,0.9127142857142857,2.4457142857142857
428,Kelly Hrudey,CAN,38,19831984,N,677,271,0.8940666666666667,3.3680000000000003
429,Jim Hrivnak,CAN,61,19891990,N,85,34,0.8772,3.7
430,Jimmy Howard,USA,64,20052006,N,543,246,0.9082857142857144,2.7600000000000002
431,Michael Houser,USA,--,20202021,N,4,2,0.901,3.46
432,Martin Houle,CAN,232,20062007,N,1,0,0.667,27.27
433,Braden Holtby,CAN,93,20102011,N,489,289,0.9150000000000001,2.618181818181818
434,Chris Holt,CAN,180,20052006,N,2,0,1.0,0.0
435,Johan Holmqvist,SWE,175,20002001,N,99,48,0.906,2.804
436,Rob Holland,CAN,64,19791980,N,44,11,0.857,4.425
437,Ken Holland,CAN,188,19801981,N,4,0,0.8260000000000001,5.5600000000000005
438,Mark Holden,USA,160,19811982,N,8,2,0.8694999999999999,3.245
439,Goran Hogosta,SWE,--,19771978,N,22,5,0.9345,2.09
440,Marcus Hogberg,SWE,78,20182019,N,42,9,0.888,3.65
441,Paul Hoganson,CAN,62,19701971,N,2,0,0.75,7.35
442,Bruce Hoffort,CAN,--,19891990,N,9,4,0.8654999999999999,4.03
443,Kevin Hodson,CAN,--,19951996,N,71,17,0.9035000000000001,2.4216666666666664
444,Charlie Hodge,CAN,--,19541955,N,358,153,0.8996666666666666,2.8276923076923075
445,Milan Hnilicka,CZE,70,19992000,N,121,29,0.8916000000000001,3.468
446,Corey Hirsch,CAN,169,19921993,N,108,34,0.9022857142857142,3.084285714285714
447,Jonas Hiller,CHE,--,20072008,N,404,197,0.9132222222222224,2.557777777777778
448,Adin Hill,CAN,76,20172018,N,49,19,0.90575,2.9025
449,Ron Hextall,CAN,119,19861987,N,608,296,0.8927692307692308,3.0215384615384617
450,Denis Herron,CAN,40,19721973,N,462,146,0.8847857142857143,3.777857142857143
451,Jim Henry,CAN,--,19411942,N,237,93,,2.59
452,John Henderson,CAN,--,19541955,N,46,15,0.857,3.275
453,Connor Hellebuyck,USA,130,20152016,N,315,172,0.9166666666666666,2.606666666666667
454,Magnus Hellberg,SWE,38,20132014,N,4,1,0.782,4.1499999999999995
455,Riku Helenius,FIN,15,20082009,N,1,0,1.0,0.0
456,Rick Heinz,CAN,--,19801981,N,49,14,0.8705999999999999,3.54
457,Calvin Heeter,USA,--,20132014,N,1,0,0.868,4.69
458,Johan Hedberg,SWE,218,20002001,N,373,161,0.9005000000000001,2.795
459,Guy Hebert,USA,159,19911992,N,491,191,0.9065,2.911
460,Glenn Healy,CAN,--,19851986,N,437,166,0.8844,3.4766666666666666
461,Don Head,CAN,--,19611962,N,38,9,0.879,4.16
462,Brian Hayward,CAN,--,19821983,N,357,143,0.8732727272727273,3.89
463,Adam Hauser,USA,81,20052006,N,1,0,0.75,7.08
464,Dominik Hasek,CZE,199,19901991,Y,735,389,0.9177500000000001,2.26875
465,Carter Hart,CAN,48,20182019,N,101,49,0.9026666666666667,2.973333333333333
466,Paul Harrison,CAN,40,19751976,N,109,28,0.8436666666666667,4.636666666666667
467,Josh Harding,CAN,38,20022003,N,151,60,0.914875,2.43375
468,Glen Hanlon,CAN,40,19771978,N,476,167,0.8841428571428571,3.565714285714286
469,Andrew Hammond,CAN,--,20132014,N,56,27,0.9262,2.116
470,Pierre Hamel,CAN,--,19741975,N,69,13,0.89825,3.5774999999999997
471,Brandon Halverson,USA,59,20172018,N,1,0,0.833,4.78
472,Glenn Hall,CAN,--,19521953,Y,906,407,0.917375,2.3744444444444444
473,Jaroslav Halak,SVK,271,20062007,N,539,281,0.9158000000000001,2.472
474,Matt Hackett,CAN,77,20112012,N,26,4,0.8905000000000001,3.7175000000000002
475,Jeff Hackett,CAN,34,19881989,N,500,166,0.8998,3.028
476,Jonas Gustavsson,SWE,--,20092010,N,179,72,0.8971250000000001,2.875
477,Filip Gustavsson,SWE,55,20202021,N,9,5,0.933,2.16
478,Derek Gustafson,USA,--,20002001,N,5,1,0.9485,1.255
479,Steve Guenette,CAN,--,19861987,N,35,19,0.8629999999999999,3.992
480,Kristers Gudlevskis,LVA,124,20132014,N,3,1,0.972,1.0033333333333332
481,Philipp Grubauer,DEU,112,20122013,N,214,109,0.9202222222222223,2.4144444444444444
482,Troy Grosenick,USA,--,20142015,N,4,2,0.935,2.26
483,Thomas Greiss,DEU,94,20072008,N,316,145,0.9093333333333334,2.686666666666667
484,Mike Greenlay,BRA,189,19891990,N,2,0,0.765,11.75
485,Harrison Gray,CAN,--,19631964,N,1,0,0.839,7.5
486,Gerry Gray,CAN,--,19701971,N,8,1,0.861,4.87
487,Gilles Gratton,CAN,69,19751976,N,47,13,0.89,3.3600000000000003
488,Doug Grant,CAN,--,19731974,N,77,27,0.8611428571428572,4.114285714285715
489,Ron Grahame,CAN,--,19771978,N,114,50,0.86375,4.07
490,John Grahame,USA,229,19992000,N,224,97,0.894625,2.895
491,David Goverde,CAN,91,19911992,N,5,1,0.8043333333333335,6.48
492,Mario Gosselin,CAN,55,19831984,N,241,91,0.8735555555555555,3.6344444444444446
493,Scott Gordon,USA,--,19891990,N,23,2,0.8215,5.635
494,Jeff Glass,CAN,89,20172018,N,15,3,0.898,3.36
495,Jon Gillies,USA,75,20162017,N,12,4,0.9299999999999999,1.94
496,Andre Gill,CAN,--,19671968,N,5,3,0.903,2.89
497,Gilles Gilbert,CAN,25,19691970,N,416,192,0.8790714285714286,3.524285714285714
498,Jean-Sebastien Giguere,CAN,13,19961997,N,597,262,0.9096875,2.675
499,John Gibson,USA,39,20132014,N,322,148,0.92025,2.43375
500,Christopher Gibson,FIN,49,20152016,N,16,4,0.9015,2.8025
501,Ed Giacomin,CAN,--,19651966,Y,610,290,0.8979230769230769,2.9492307692307693
502,Martin Gerber,CHE,232,20022003,N,229,113,0.9184285714285715,2.4014285714285712
503,Alexandar Georgiev,RUS,--,20172018,N,96,43,0.9117500000000001,2.9525
504,Jack Gelineau,CAN,--,19481949,N,72,22,,5.905
505,Sean Gauthier,CAN,181,19981999,N,1,0,1.0,0.0
506,Dave Gatherum,CAN,--,19531954,N,3,2,,1.0
507,John Garrett,CAN,38,19791980,N,207,68,0.8584999999999999,4.568333333333333
508,Mathieu Garon,CAN,44,20002001,N,341,144,0.90325,2.8341666666666665
509,Michael Garnett,CAN,80,20012002,N,24,10,0.885,3.44
510,Tyrone Garner,CAN,83,19981999,N,3,0,0.838,5.18
511,George Gardner,CAN,--,19651966,N,66,16,0.9007999999999999,3.2079999999999997
512,Troy Gamble,CAN,25,19861987,N,72,22,0.86725,3.55
513,Bruce Gamble,CAN,--,19581959,N,328,111,0.9054,3.245
514,David Gagnon,CAN,--,19901991,N,2,0,0.786,10.3
515,Joaquin Gage,CAN,109,19941995,N,23,4,0.8586666666666667,3.8266666666666667
516,Kaden Fulcher,CAN,--,20182019,N,1,0,0.818,4.41
517,Yutaka Fukufuji,JPN,238,20062007,N,4,0,0.837,4.37
518,Grant Fuhr,CAN,8,19811982,Y,868,403,0.8844210526315789,3.4726315789473685
519,Bob Froese,CAN,160,19821983,N,242,128,0.888875,3.1125
520,Karl Friesen,CAN,--,19861987,N,4,0,0.8,7.38
521,Ray Frederick,CAN,--,19541955,N,5,0,,4.4
522,Jeff Frazee,USA,38,20122013,N,1,0,1.0,0.0
523,Pavel Francouz,CZE,--,20182019,N,36,21,0.933,2.185
524,Emile Francis,CAN,--,19461947,N,19,5,,3.08
525,Mike Fountain,CAN,45,19961997,N,11,2,0.8654999999999999,3.5125
526,Scott Foster,CAN,--,20172018,N,1,0,1.0,0.0
527,Norm Foster,CAN,222,19901991,N,13,7,0.86,3.6500000000000004
528,Brian Foster,USA,161,20112012,N,1,0,1.0,0.0
529,Anton Forsberg,SWE,188,20142015,N,56,15,0.8898333333333334,3.5583333333333336
530,Brian Ford,CAN,--,19831984,N,11,3,0.826,6.33
531,Marc-Andre Fleury,CAN,1,20032004,N,883,492,0.9131176470588235,2.584705882352941
532,Wade Flaherty,CAN,181,19911992,N,120,27,0.889090909090909,3.716363636363636
533,Mark Fitzpatrick,CAN,27,19881989,N,329,113,0.8964166666666666,3.1725
534,Stephane Fiset,CAN,24,19891990,N,390,164,0.889923076923077,3.4438461538461533
535,Brian Finley,CAN,6,20022003,N,4,0,0.8356666666666667,4.633333333333333
536,Eric Fichaud,CAN,16,19951996,N,95,22,0.8923333333333333,3.2383333333333333
537,Manny Fernandez,CAN,52,19941995,N,325,143,0.9037692307692308,2.683076923076923
538,Dylan Ferguson,CAN,194,20172018,N,1,0,0.5,6.5
539,Doug Favell,CAN,--,19671968,N,373,124,0.8890833333333333,3.549166666666667
540,Viktor Fasth,SWE,--,20122013,N,63,26,0.904,2.8066666666666666
541,Rocky Farr,CAN,--,19721973,N,19,2,0.8816666666666667,4.44
542,Scott Fankhouser,USA,276,19992000,N,23,4,0.8955,3.45
543,Randy Exelby,CAN,--,19881989,N,2,0,0.9139999999999999,2.505
544,Claude Evans,CAN,--,19541955,N,5,1,0.882,3.8
545,Bob Essensa,CAN,69,19881989,N,446,173,0.8925833333333334,3.0416666666666665
546,Tony Esposito,CAN,--,19681969,Y,886,423,0.90525,3.013125
547,Robert Esche,USA,139,19981999,N,186,78,0.89275,2.9875
548,Erik Ersberg,SWE,--,20072008,N,53,18,0.911,2.5066666666666664
549,Joacim Eriksson,SWE,196,20132014,N,1,0,0.806,9.99
550,Chad Erickson,USA,138,19911992,N,2,1,0.836,4.5
551,Jhonas Enroth,SWE,46,20092010,N,153,50,0.9055,3.01875
552,Ray Emery,CAN,99,20022003,N,287,145,0.9079090909090909,2.537272727272727
553,Dan Ellis,CAN,60,20032004,N,212,87,0.9037777777777778,2.8377777777777777
554,Brian Elliott,CAN,291,20072008,N,502,256,0.9142857142857144,2.422857142857143
555,Ken Ellacott,CAN,47,19821983,N,12,2,0.867,4.47
556,Darren Eliot,CAN,115,19841985,N,88,24,0.8452,5.109999999999999
557,Brian Eklund,USA,226,20052006,N,1,0,0.842,3.09
558,Roy Edwards,CAN,--,19671968,N,236,96,0.8962857142857142,3.2942857142857145
559,Marv Edwards,CAN,--,19681969,N,61,15,0.8955,3.63
560,Gary Edwards,CAN,6,19681969,N,286,88,0.8853076923076924,3.426153846153846
561,Don Edwards,CAN,89,19761977,N,459,208,0.8855999999999999,3.4200000000000004
562,Ed Dyck,CAN,30,19711972,N,49,8,0.8606666666666666,4.283333333333333
563,Robert Dupuis,CAN,--,19791980,N,1,0,0.886,4.05
564,Mike Dunham,USA,53,19961997,N,394,141,0.9057999999999999,2.766
565,Michel Dumas,CAN,--,19741975,N,8,2,0.856,3.8500000000000005
566,Parris Duffus,USA,180,19961997,N,1,0,0.875,2.08
567,Jeremy Duchesne,USA,119,20092010,N,1,0,0.75,3.59
568,Devan Dubnyk,CAN,14,20092010,N,542,253,0.9096666666666667,2.7675
569,Wade Dubielewicz,CAN,--,20032004,N,43,18,0.9021666666666667,2.6533333333333333
570,Ken Dryden,CAN,14,19701971,Y,397,258,0.924625,2.17125
571,Dave Dryden,CAN,--,19611962,N,203,69,0.8921111111111111,3.466666666666667
572,Chris Driedger,CAN,76,20142015,N,38,21,0.9196,2.024
573,Tom Draper,CAN,165,19881989,N,53,19,0.8455,4.476666666666667
574,Bruce Dowie,CAN,--,19831984,N,2,0,0.907,3.33
575,Robert Dopson,CAN,--,19931994,N,2,0,0.87,3.96
576,Louis Domingue,CAN,138,20142015,N,140,58,0.8978571428571429,3.1114285714285717
577,Reinhard Divis,AUT,261,20012002,N,28,6,0.92775,2.04
578,Michael Dipietro,CAN,64,20182019,N,2,0,0.7825,7.08
