,Player,Country,Draft Position,1st Season,HOF,GP,W,Career Save %,GAA
215,Dave Parro,CAN,34.0,19801981,N,77,21,0.8703333333333333,3.0575
217,Rich Parent,CAN,,19971998,N,32,7,0.91275,2.33
218,Bernie Parent,CAN,,19651966,Y,608,271,0.9115384615384616,2.657692307692308
219,Darren Pang,CAN,,19841985,N,81,27,0.8593333333333333,4.073333333333333
220,Mike Palmateer,CAN,85.0,19761977,N,356,149,0.8805000000000001,3.7775
221,Marcel Paille,CAN,,19571958,N,107,32,0.8931428571428571,3.5342857142857143
225,Chris Osgood,CAN,54.0,19931994,N,744,401,0.9043529411764706,2.5358823529411763
226,Joni Ortio,FIN,170.0,20132014,N,37,15,0.9003333333333333,2.6
228,Bill Oleschuk,CAN,110.0,19751976,N,55,7,0.87375,4.3675
229,Jake Oettinger,USA,26.0,20202021,N,29,11,0.911,2.36
230,Michael O'Neill,CAN,,19911992,N,21,0,0.81175,4.865
232,Pasi Nurminen,FIN,189.0,20012002,N,125,48,0.9023333333333332,3.09
233,Jack Norris,CAN,,19641965,N,58,20,0.87475,4.390000000000001
234,Fredrik Norrena,FIN,213.0,20062007,N,100,35,0.8906666666666667,2.89
235,Mika Noronen,FIN,21.0,20002001,N,71,23,0.8882,2.864
237,Anders Nilsson,SWE,62.0,20112012,N,161,59,0.9068571428571428,3.0342857142857147
238,Antero Niittymaki,FIN,168.0,20032004,N,234,95,0.9105714285714288,2.657142857142857
239,Antti Niemi,FIN,,20082009,N,464,242,0.9051818181818182,2.769090909090909
240,Cam Newton,CAN,103.0,19701971,N,16,4,0.871,3.695
241,Michal Neuvirth,CZE,34.0,20082009,N,257,105,0.9051818181818182,2.861818181818182
242,Alex Nedeljkovic,USA,37.0,20162017,N,29,17,0.9355,1.7374999999999998
244,Evgeni Nabokov,RUS,219.0,19992000,N,697,353,0.9087142857142858,2.492857142857143
245,Phil Myre,CAN,5.0,19691970,N,439,149,0.8837142857142857,3.567857142857143
247,Jarmo Myllys,FIN,172.0,19881989,N,39,4,0.84325,5.71
248,Jason Muzzatti,ITA,21.0,19931994,N,62,13,0.8916000000000001,3.5380000000000003
249,Matt Murray,CAN,83.0,20152016,N,226,127,0.9118333333333334,2.7116666666666664
252,Adam Munro,CAN,29.0,20032004,N,17,4,0.8865000000000001,3.33
253,Petr Mrazek,CZE,141.0,20122013,N,275,128,0.9147777777777778,2.407777777777778
255,Tyler Moss,CAN,29.0,19971998,N,30,6,0.899,3.11
256,Mike Morrison,USA,186.0,20052006,N,29,11,0.8360000000000001,4.54
259,Andy Moog,CAN,132.0,19801981,N,713,372,0.8901666666666667,3.223888888888889
260,Al Montoya,USA,6.0,20082009,N,168,67,0.9082222222222222,2.6500000000000004
261,Sam Montembeault,CAN,77.0,20182019,N,25,9,0.892,3.19
262,Mike Moffat,CAN,165.0,19811982,N,18,7,0.838,4.116666666666666
264,Eddie Mio,CAN,124.0,19791980,N,192,64,0.86,4.315714285714286
266,Ryan Miller,USA,138.0,20022003,N,796,391,0.9061111111111112,2.818888888888889
267,Greg Millen,CAN,102.0,19781979,N,604,215,0.8761428571428571,3.7771428571428567
269,Lindsay Middlebrook,CAN,,19791980,N,37,3,0.86475,4.5600000000000005
272,Corrado Micalef,CAN,44.0,19811982,N,113,26,0.8535999999999999,4.432
273,Elvis Merzlikins,LVA,76.0,20192020,N,61,21,0.9195,2.56
274,Gilles Meloche,CAN,70.0,19701971,N,788,270,0.8856666666666667,3.621111111111112
276,Roland Melanson,CAN,59.0,19801981,N,291,129,0.8637272727272727,4.003636363636364
278,Gord McRae,CAN,,19721973,N,71,30,0.8844,3.706
279,Gerry McNeil,CAN,,19471948,N,268,116,0.877,2.526
281,Jim McLeod,CAN,,19711972,N,16,6,0.89,3.01
282,Don McLeod,CAN,,19701971,N,18,3,0.862,4.91
283,Jamie McLennan,CAN,48.0,19931994,N,254,80,0.8970000000000001,2.815454545454545
285,Kirk McLean,CAN,107.0,19851986,N,612,245,0.8815,3.458125
288,Bill McKenzie,CAN,,19731974,N,91,18,0.8771666666666667,3.878333333333333
289,Mike McKenna,USA,172.0,20082009,N,35,7,0.8881666666666667,3.595
292,Curtis McElhinney,CAN,176.0,20072008,N,249,94,0.907,2.746923076923077
293,Peter McDuffe,CAN,,19711972,N,57,11,0.8992000000000001,3.5260000000000007
296,Marek Mazanec,CZE,179.0,20132014,N,31,8,0.8853333333333334,3.266666666666667
299,Markus Mattsson,FIN,87.0,19791980,N,92,21,0.867,4.095
300,Steve Mason,CAN,69.0,20082009,N,476,205,0.9105,2.751
301,Chris Mason,CAN,122.0,19981999,N,317,137,0.9016363636363636,2.900909090909091
302,Bob Mason,USA,,19831984,N,145,55,0.89675,3.10875
304,Seth Martin,CAN,,19671968,N,30,9,0.914,2.6
306,Jacob Markstrom,SWE,31.0,20102011,N,315,132,0.9003636363636364,2.8763636363636365
307,Jussi Markkanen,FIN,133.0,20012002,N,128,43,0.9034,2.616
308,Norm Maracle,CAN,126.0,19971998,N,66,14,0.8914,2.842
310,Cesare Maniago,CAN,,19601961,N,568,190,0.8996666666666667,3.2653333333333334
312,Clint Malarchuk,CAN,74.0,19811982,N,337,141,0.8741,3.927000000000001
314,Darrin Madeley,CAN,,19921993,N,39,4,0.8463333333333334,4.8500000000000005
317,Joey MacDonald,CAN,,20062007,N,133,44,0.90325,2.9000000000000004
318,Alex Lyon,USA,,20172018,N,22,6,0.8735,3.6775
320,Roberto Luongo,CAN,4.0,19992000,N,1044,489,0.9174736842105264,2.557368421052632
321,Henrik Lundqvist,SWE,205.0,20052006,N,887,459,0.9177333333333332,2.464
322,Harry Lumley,CAN,,19431944,Y,478,167,0.90875,2.767777777777778
323,Larry Lozinski,CAN,219.0,19801981,N,30,6,0.858,4.29
324,Ron Low,CAN,104.0,19721973,N,382,102,0.870090909090909,4.225454545454546
327,Pete Lopresti,USA,42.0,19741975,N,175,43,0.8571666666666666,4.278333333333333
328,Ken Lockett,CAN,,19741975,N,55,13,0.889,3.33
329,Mike Liut,CAN,56.0,19791980,N,663,293,0.8810769230769231,3.511538461538461
332,Charlie Lindgren,USA,,20152016,N,24,10,0.9144,2.8920000000000003
333,Pelle Lindbergh,SWE,35.0,19811982,N,157,87,0.8826,3.47
334,Anders Lindback,SWE,207.0,20102011,N,130,45,0.9038333333333334,2.84
337,Mario Lessard,CAN,154.0,19781979,N,240,92,0.864,4.194999999999999
338,David Leneveu,CAN,46.0,20052006,N,22,5,0.871,4.366666666666666
340,Rejean Lemelin,CAN,125.0,19781979,N,506,236,0.8778666666666666,3.6006666666666667
341,Michael Leighton,CAN,165.0,20012002,N,110,37,0.8899000000000001,3.216
342,Kari Lehtonen,FIN,2.0,20032004,N,649,310,0.9145,2.6292857142857144
343,Robin Lehner,SWE,46.0,20102011,N,320,129,0.9174545454545456,2.661818181818182
345,Manny Legace,CAN,188.0,19981999,N,365,187,0.9107272727272728,2.481818181818182
346,Pascal Leclaire,CAN,8.0,20022003,N,173,61,0.8982857142857144,3.1185714285714288
348,Gordon Laxton,CAN,13.0,19751976,N,17,4,0.79975,6.5075
350,Gary Laskoski,CAN,,19821983,N,59,19,0.8425,4.77
352,Michel Larocque,CAN,6.0,19731974,N,312,160,0.8795454545454546,3.5009090909090905
354,Kevin Lankinen,FIN,,20202021,N,37,17,0.909,3.01
355,Scott Langkow,CAN,31.0,19951996,N,20,3,0.8795,3.445
358,Patrick Lalime,CAN,156.0,19961997,N,444,200,0.9018333333333334,2.7466666666666666
360,Maxime Lagace,CAN,,20172018,N,18,7,0.9126666666666666,2.65
361,Mark Laforest,CAN,,19851986,N,103,25,0.8651666666666666,4.263333333333333
364,Eddie Lack,SWE,,20132014,N,144,56,0.9012,2.866
365,Blaine Lacher,CAN,,19941995,N,47,22,0.8734999999999999,3.175
368,Jason LaBarbera,CAN,66.0,20002001,N,187,62,0.907818181818182,2.7227272727272727
369,Gary Kurt,CAN,,19711972,N,16,1,0.856,4.3
371,Darcy Kuemper,CAN,160.0,20122013,N,242,106,0.9147777777777778,2.477777777777778
373,Mikko Koskinen,FIN,31.0,20102011,N,123,58,0.89875,3.295
374,Joonas Korpisalo,FIN,62.0,20152016,N,160,69,0.904,2.9416666666666664
377,Olie Kolzig,DEU,19.0,19891990,N,719,303,0.8844117647058823,3.3064705882352943
379,Dieter Kochan,CAN,98.0,19992000,N,21,1,0.8534999999999999,4.195
386,Miikka Kiprusoff,FIN,116.0,20002001,N,623,319,0.9089166666666668,2.5141666666666667
387,Keith Kinkaid,USA,,20122013,N,166,68,0.904375,2.91625
389,Trevor Kidd,CAN,11.0,19911992,N,387,140,0.8958333333333334,2.980833333333333
390,Anton Khudobin,RUS,206.0,20092010,N,250,111,0.9274166666666668,2.1675
391,Nikolai Khabibulin,RUS,204.0,19941995,N,799,333,0.9026111111111113,2.896111111111111
394,Doug Keans,CAN,94.0,19791980,N,210,96,0.8686666666666666,3.675555555555556
397,Henrik Karlsson,SWE,,20102011,N,26,5,0.904,2.875
399,Kaapo Kahkonen,FIN,109.0,20192020,N,29,19,0.9075,2.92
402,Curtis Joseph,CAN,,19891990,N,943,454,0.903,2.8521052631578945
403,Martin Jones,CAN,,20132014,N,361,186,0.909125,2.56125
404,Eddie Johnston,CAN,,19621963,N,592,236,0.89225,3.276875
405,Chad Johnson,CAN,125.0,20092010,N,192,80,0.9005555555555556,2.9866666666666664
406,Brent Johnson,USA,129.0,19981999,N,309,140,0.9049166666666668,2.6666666666666665
407,Bob Johnson,USA,,19721973,N,23,9,0.8815,3.85
408,Jonas Johansson,SWE,61.0,20192020,N,21,6,0.8955,2.9
409,Darren Jensen,CAN,92.0,19841985,N,30,15,0.825,5.345
410,Al Jensen,CAN,31.0,19801981,N,179,95,0.861,4.014285714285714
411,Tristan Jarry,CAN,44.0,20162017,N,101,59,0.901,2.902
412,Bob Janecyk,USA,,19831984,N,111,44,0.8718333333333333,4.315
415,Pat Jablonski,USA,138.0,19891990,N,128,28,0.8714999999999999,3.81125
419,Arturs Irbe,LVA,196.0,19911992,N,568,218,0.8940769230769232,3.072307692307692
420,Gary Inness,CAN,,19731974,N,162,58,0.8924285714285715,3.3057142857142856
421,Peter Ing,CAN,48.0,19891990,N,74,20,0.85875,4.8325
422,Carter Hutton,CAN,,20122013,N,232,94,0.9065555555555556,2.75
423,Michael Hutchinson,CAN,77.0,20132014,N,135,55,0.9085,2.775
424,Ville Husso,FIN,94.0,20202021,N,17,9,0.893,3.21
425,Jani Hurme,FIN,58.0,19992000,N,76,29,0.90325,2.465
427,Cristobal Huet,FRA,214.0,20022003,N,272,129,0.9127142857142856,2.4457142857142857
428,Kelly Hrudey,CAN,38.0,19831984,N,677,271,0.8940666666666667,3.3680000000000003
429,Jim Hrivnak,CAN,61.0,19891990,N,85,34,0.8772,3.7
430,Jimmy Howard,USA,64.0,20052006,N,543,246,0.9082857142857144,2.76
433,Braden Holtby,CAN,93.0,20102011,N,489,289,0.915,2.618181818181818
435,Johan Holmqvist,SWE,175.0,20002001,N,99,48,0.906,2.804
436,Rob Holland,CAN,64.0,19791980,N,44,11,0.857,4.425
439,Goran Hogosta,SWE,,19771978,N,22,5,0.9345,2.09
440,Marcus Hogberg,SWE,78.0,20182019,N,42,9,0.888,3.65
443,Kevin Hodson,CAN,,19951996,N,71,17,0.9035,2.4216666666666664
444,Charlie Hodge,CAN,,19541955,N,358,153,0.8996666666666666,2.8276923076923075
445,Milan Hnilicka,CZE,70.0,19992000,N,121,29,0.8916000000000001,3.468
446,Corey Hirsch,CAN,169.0,19921993,N,108,34,0.9022857142857142,3.084285714285714
447,Jonas Hiller,CHE,,20072008,N,404,197,0.9132222222222224,2.557777777777778
448,Adin Hill,CAN,76.0,20172018,N,49,19,0.90575,2.9025
449,Ron Hextall,CAN,119.0,19861987,N,608,296,0.8927692307692308,3.0215384615384617
450,Denis Herron,CAN,40.0,19721973,N,462,146,0.8847857142857143,3.777857142857143
452,John Henderson,CAN,,19541955,N,46,15,0.857,3.275
